adate,atime,t1eg1,t1eg2,t1eg3,t1eg4,t1egsum1,t1dg1,t1dg2,t1dg3,t1dg4,t1dg5,t1dg6,t1dgsum1,t2eg1,t2eg2,t2egsum1,t2dg1,t2dg2,t2dgsum2,tmp1,tmp2
20251119,05_06,1106.0,370.0,0.0,0.0,1476.0,0.0,1138.0,0.0,2230.0,0.0,0.0,3368.0,281.0,378.0,659.0,1648.0,0.0,1648.0,,
20251119,06_07,1547.0,1186.0,942.0,940.0,4615.0,315.0,1196.0,1143.0,1205.0,97.0,0.0,3956.0,670.0,527.0,1197.0,2065.0,987.0,3052.0,,
20251119,07_08,1578.0,1886.0,161.0,164.0,3789.0,705.0,1039.0,1437.0,1538.0,232.0,0.0,4951.0,499.0,513.0,1012.0,2205.0,978.0,3183.0,,
20251119,08_09,385.0,353.0,163.0,163.0,1064.0,548.0,1017.0,1540.0,1618.0,232.0,0.0,4955.0,148.0,259.0,407.0,1784.0,777.0,2561.0,,
20251119,09_10,525.0,862.0,31.0,31.0,1449.0,259.0,1134.0,1421.0,1487.0,206.0,0.0,4507.0,4.0,335.0,339.0,1241.0,506.0,1747.0,,
20251119,10_11,3.0,503.0,728.0,414.0,1648.0,0.0,1247.0,1201.0,1284.0,192.0,0.0,3924.0,0.0,97.0,97.0,972.0,659.0,1631.0,,
20251119,11_12,740.0,1863.0,411.0,408.0,3422.0,0.0,994.0,1096.0,1241.0,186.0,0.0,3517.0,254.0,857.0,1111.0,1023.0,590.0,1613.0,,
20251119,12_13,672.0,1094.0,614.0,326.0,2706.0,0.0,854.0,1002.0,1149.0,154.0,0.0,3159.0,430.0,75.0,505.0,924.0,450.0,1374.0,,
20251119,13_14,955.0,1603.0,422.0,422.0,3402.0,0.0,926.0,929.0,1059.0,149.0,0.0,3063.0,381.0,370.0,751.0,833.0,518.0,1351.0,,
20251119,14_15,1489.0,1870.0,375.0,377.0,4111.0,0.0,875.0,832.0,878.0,130.0,0.0,2715.0,322.0,445.0,767.0,906.0,528.0,1434.0,,
20251119,15_16,1037.0,1408.0,554.0,554.0,3553.0,0.0,850.0,804.0,897.0,130.0,0.0,2681.0,573.0,542.0,1115.0,842.0,548.0,1390.0,,
20251119,16_17,1149.0,900.0,353.0,354.0,2756.0,0.0,1040.0,833.0,876.0,97.0,0.0,2846.0,770.0,1680.0,2450.0,1593.0,593.0,2186.0,,
20251119,17_18,1395.0,1837.0,225.0,386.0,3843.0,0.0,1344.0,875.0,854.0,126.0,0.0,3199.0,1779.0,839.0,2618.0,1934.0,846.0,2780.0,,
20251119,18_19,1461.0,1910.0,81.0,78.0,3530.0,0.0,1165.0,917.0,895.0,138.0,0.0,3115.0,1065.0,241.0,1306.0,1124.0,760.0,1884.0,,
20251119,19_20,1312.0,1643.0,96.0,100.0,3151.0,0.0,830.0,896.0,957.0,136.0,0.0,2819.0,407.0,184.0,591.0,945.0,0.0,945.0,,
20251119,20_21,996.0,658.0,829.0,524.0,3007.0,0.0,462.0,0.0,1287.0,0.0,0.0,1749.0,748.0,0.0,748.0,278.0,0.0,278.0,,
20251119,21_22,940.0,1378.0,430.0,430.0,3178.0,0.0,265.0,0.0,835.0,0.0,0.0,1100.0,789.0,0.0,789.0,308.0,0.0,308.0,,
20251119,22_23,2015.0,1153.0,0.0,0.0,3168.0,0.0,0.0,0.0,933.0,0.0,0.0,933.0,839.0,0.0,839.0,166.0,0.0,166.0,,
20251119,23_00,618.0,0.0,0.0,0.0,618.0,0.0,0.0,0.0,449.0,0.0,0.0,449.0,452.0,0.0,452.0,3.0,0.0,3.0,,
합계,합계,21702.0,22477.0,6415.0,5671.0,56265.0,1827.0,16376.0,14926.0,23902.0,2205.0,0.0,59236.0,10609.0,7342.0,17951.0,21226.0,8740.0,29966.0,,
20251118,00_01,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,512.0,0.0,0.0,512.0,204.0,0.0,204.0,0.0,0.0,0.0,,
20251118,01_02,476.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,148.0,0.0,0.0,148.0,62.0,0.0,62.0,0.0,0.0,0.0,,
20251118,02_03,381.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,2.0,,
20251118,03_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,222.0,0.0,0.0,0.0,56.0,0.0,56.0,,
20251118,04_05,612.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,1244.0,0.0,0.0,1244.0,278.0,0.0,278.0,471.0,0.0,471.0,,
20251118,05_06,1968.0,293.0,0.0,0.0,2261.0,0.0,779.0,0.0,1993.0,0.0,0.0,2772.0,765.0,506.0,1271.0,1695.0,0.0,1695.0,,
20251118,06_07,764.0,1097.0,344.0,1494.0,3699.0,269.0,883.0,880.0,935.0,59.0,0.0,3026.0,699.0,467.0,1166.0,1890.0,895.0,2785.0,,
20251118,07_08,250.0,2366.0,1119.0,14.0,3749.0,825.0,1142.0,1350.0,1304.0,226.0,0.0,4847.0,468.0,505.0,973.0,2079.0,979.0,3058.0,,
20251118,08_09,925.0,440.0,318.0,99.0,1782.0,597.0,1059.0,1544.0,1631.0,245.0,0.0,5076.0,394.0,214.0,608.0,1769.0,827.0,2596.0,,
20251118,09_10,0.0,518.0,16.0,577.0,1111.0,259.0,1139.0,1285.0,1324.0,196.0,0.0,4203.0,87.0,304.0,391.0,1219.0,571.0,1790.0,,
20251118,10_11,0.0,614.0,914.0,270.0,1798.0,0.0,1365.0,1186.0,1149.0,187.0,0.0,3887.0,0.0,37.0,37.0,1024.0,673.0,1697.0,,
20251118,11_12,309.0,838.0,494.0,1327.0,2968.0,0.0,1210.0,1183.0,1245.0,177.0,0.0,3815.0,344.0,724.0,1068.0,823.0,448.0,1271.0,,
20251118,12_13,247.0,695.0,1356.0,302.0,2600.0,0.0,912.0,992.0,1135.0,136.0,0.0,3175.0,362.0,338.0,700.0,823.0,388.0,1211.0,,
20251118,13_14,866.0,1215.0,573.0,1223.0,3877.0,0.0,884.0,895.0,1029.0,143.0,0.0,2951.0,625.0,640.0,1265.0,804.0,475.0,1279.0,,
